minute_of_day,irradiance(W/m^2),voltage(V),current(A),power(W)
0,0.0,18.54,0.0,0.0
1,0.0,18.54,0.0,0.0
2,2.12,18.55,0.001,0.01
3,7.41,18.57,0.002,0.04
4,0.0,18.54,0.0,0.0
5,9.22,18.57,0.003,0.05
6,0.0,18.54,0.0,0.0
7,11.06,18.58,0.003,0.06
8,0.0,18.54,0.0,0.0
9,13.13,18.59,0.004,0.07
10,13.88,18.59,0.004,0.07
11,2.3,18.55,0.001,0.01
12,0.0,18.54,0.0,0.0
13,3.67,18.55,0.001,0.02
14,0.0,18.54,0.0,0.0
15,1.68,18.55,0.0,0.01
16,15.94,18.6,0.005,0.09
17,0.0,18.54,0.0,0.0
18,7.14,18.57,0.002,0.04
19,0.0,18.54,0.0,0.0
20,5.47,18.56,0.002,0.03
21,1.63,18.55,0.0,0.01
22,17.81,18.61,0.005,0.1
23,0.0,18.54,0.0,0.0
24,0.0,18.54,0.0,0.0
25,0.0,18.54,0.0,0.0
26,0.0,18.54,0.0,0.0
27,0.0,18.54,0.0,0.0
28,0.39,18.54,0.0,0.0
29,0.0,18.54,0.0,0.0
30,18.46,18.61,0.005,0.1
31,4.17,18.56,0.001,0.02
32,13.09,18.59,0.004,0.07
33,10.7,18.58,0.003,0.06
34,1.33,18.54,0.0,0.01
35,0.8,18.54,0.0,0.0
36,7.6,18.57,0.002,0.04
37,7.75,18.57,0.002,0.04
38,4.6,18.56,0.001,0.02
39,20.52,18.62,0.006,0.11
40,0.0,18.54,0.0,0.0
41,0.0,18.54,0.0,0.0
42,19.25,18.61,0.006,0.1
43,2.05,18.55,0.001,0.01
44,0.0,18.54,0.0,0.0
45,2.76,18.55,0.001,0.01
46,0.0,18.54,0.0,0.0
47,0.0,18.54,0.0,0.0
48,4.82,18.56,0.001,0.03
49,0.0,18.54,0.0,0.0
50,0.0,18.54,0.0,0.0
51,0.0,18.54,0.0,0.0
52,8.38,18.57,0.002,0.05
53,6.37,18.56,0.002,0.03
54,6.01,18.56,0.002,0.03
55,0.0,18.54,0.0,0.0
56,0.0,18.54,0.0,0.0
57,0.0,18.54,0.0,0.0
58,0.0,18.54,0.0,0.0
59,0.0,18.54,0.0,0.0
60,0.0,18.54,0.0,0.0
61,0.0,18.54,0.0,0.0
62,7.42,18.57,0.002,0.04
63,8.16,18.57,0.002,0.04
64,4.39,18.56,0.001,0.02
65,0.0,18.54,0.0,0.0
66,3.63,18.55,0.001,0.02
67,14.81,18.59,0.004,0.08
68,0.0,18.54,0.0,0.0
69,8.05,18.57,0.002,0.04
70,0.9,18.54,0.0,0.0
71,0.0,18.54,0.0,0.0
